-844.8+0i,0.010914165412442-0.00896570129134564i,-0.0176636128544401-0.00120474996744374i
-844.3875+0i,0.0162165669497882+0.0150545922744056i,-0.00328170216974544-0.0205490577460466i
-843.975+0i,-0.0180877880117336+0.0219529661443143i,0.0237784533785908-0.0062173228648295i
-843.5625+0i,-0.0255901233276917-0.0191447747264074i,0.00741674385000295+0.026362028221151i
-843.15+0i,0.0176795481253064-0.0270811576065194i,-0.027359222526812+0.00731130751776665i
-842.7375+0i,0.0267873844829926+0.0136828713095261i,-0.00669893059927419-0.0262551575383935i
-842.325+0i,-0.00773758666517172+0.025248151061136i,0.0231468037283044-0.00635964382046384i
-841.9125+0i,-0.0229529948284937-0.000888536507654815i,0.00671951506085921+0.0186731179583137i
-841.5+0i,-0.00563117001734387-0.0202000043464004i,-0.0137431391877222+0.0077150919670358i
-841.0875+0i,0.0170744726483982-0.0107268379897144i,-0.00890367901573217-0.00920041449502598i
-840.675+0i,0.0137181915956792+0.0135285160741381i,0.00557210327316471-0.00973888480333202i
-840.2625+0i,-0.00950886033667191+0.0144838917087502i,0.00985320829783169+0.00298895742094204i
-839.85+0i,-0.013439141998028-0.00507495725736762i,-0.00126820792068065+0.00919999706865635i
-839.4375+0i,0.000465694606000321-0.011361811289121i,-0.00799646961061676-7.85624777924801e-05i
-839.025+0i,0.00912514347651403-0.00390387265116783i,-0.000909343540680127-0.00652469978037553i
-838.6125+0i,0.00751404892120404+0.00742109915149099i,0.0049229558402907-0.00194378923762566i
-838.2+0i,-0.006562084070712+0.00986260832789791i,0.00317920482888234+0.00309524387668942i
-837.7875+0i,-0.0106057004049501-0.00642638361832762i,-0.000789590105599005+0.00468446983219496i
-837.375+0i,0.00656533284399056-0.00967472890977914i,-0.00643130362250262+0.00220594725929345i
-836.9625+0i,0.00732589780519096+0.00643007911451238i,-0.00586699210690736-0.00826108216977667i
-836.55+0i,-0.00562589464270833+0.00409678849245455i,0.00986844799164951-0.00985021627991116i
